id,marca,nome,categoria,tipo,n_varianti,prezzo_da,prezzo_a,url
28126,tubertini,Tubertini The Dick,Tecniche Varie,grouped,4,3.20,4.90,https://clanpesca.com/prodotto/tubertini-the-dick/
14450,tubertini,Tubertini Toda FX,Frizione anteriore,grouped,2,169.00,169.00,https://clanpesca.com/prodotto/tubertini-toda-fx/
13473,tubertini,Tubertini UC4 Gorilla Mt 100,Fili Fluorocarbon,grouped,9,14.90,18.90,https://clanpesca.com/prodotto/tubertini-uc4-gorilla-mt-100/
14463,tubertini,Tubertini Vertigo Black,Frizione anteriore,grouped,4,110.00,122.00,https://clanpesca.com/prodotto/tubertini-vertigo-black/
21674,tubertini,Tubertini Vitality 2 Mt 2.10 Lb 12-20,Mare,simple,0,139.00,139.00,https://clanpesca.com/prodotto/tubertini-vitality-2-mt-2-10-lb-12-20/
21671,tubertini,Tubertini Vitality Tuna Mt 2.00 Lb 30-50,Mare,simple,0,179.00,179.00,https://clanpesca.com/prodotto/tubertini-vitality-tuna-mt-2-00-lb-30-50/
23510,tunala,Tunala BL049 Hook Remover,Mare,simple,0,34.90,34.90,https://clanpesca.com/prodotto/tunala-bl049-hook-remover/
24614,unitika,Unitika Compact Shock Leader Fluorocarbon,Mare,grouped,10,7.90,7.90,https://clanpesca.com/prodotto/unitika-compact-shock-leader-fluorocarbon-3/
24610,unitika,Unitika Compact Shock Leader Fluorocarbon 20 LB,Mare,simple,0,7.90,7.90,https://clanpesca.com/prodotto/unitika-compact-shock-leader-fluorocarbon-20-lb/
24612,unitika,Unitika Compact Shock Leader Fluorocarbon 25 LB,Mare,simple,0,7.90,7.90,https://clanpesca.com/prodotto/unitika-compact-shock-leader-fluorocarbon-25-lb/
24599,unitika,Unitika Compact Shock Leader Fluorocarbon 4 LB,Mare,simple,0,7.90,7.90,https://clanpesca.com/prodotto/unitika-compact-shock-leader-fluorocarbon-2/
24603,unitika,Unitika Compact Shock Leader Fluorocarbon 5 LB,Mare,simple,0,7.90,7.90,https://clanpesca.com/prodotto/unitika-compact-shock-leader-fluorocarbon-5-lb/
24604,unitika,Unitika Compact Shock Leader Fluorocarbon 6 LB,Mare,simple,0,7.90,7.90,https://clanpesca.com/prodotto/unitika-compact-shock-leader-fluorocarbon-6-lb/
27210,unitika,Unitika Univenture X8 Mt 150,Spinning e Casting,grouped,7,29.50,29.50,https://clanpesca.com/prodotto/unitika-univenture-x8/
31535,urban-fishing,Urban Fishing 120 Slim Cm 12 Gr 16 S,Luccio,grouped,6,25.00,25.00,https://clanpesca.com/prodotto/urban-fishing-120-slim-cm-12-gr-16-s/
31514,urban-fishing,Urban Fishing 97 Slim Cm 10 Gr 12 S,Luccio,grouped,6,24.00,24.00,https://clanpesca.com/prodotto/urban-fishing-97-slim-cm-10-gr-12-s/
31500,urban-fishing,Urban Fishing RealDeal 110 Cm 11 Gr 20 S,Luccio,grouped,6,24.00,24.00,https://clanpesca.com/prodotto/urban-fishing-realdeal-110-cm-11-gr-20-s/
31486,urban-fishing,Urban Fishing RealDeal 50 Cm 5 Gr 6.5 S,Spinning e Casting,grouped,6,19.00,19.00,https://clanpesca.com/prodotto/urban-fishing-realdeal-50-cm-5-gr-6-5-s/
31472,urban-fishing,Urban Fishing RealDeal 67 Cm 7 Gr 9 S,Mare,grouped,6,20.50,20.50,https://clanpesca.com/prodotto/urban-fishing-realdeal-67-cm-7-gr-9-s/
31456,urban-fishing,Urban Fishing RealDeal 87 Cm 9 Gr 15 S,Mare,grouped,6,22.00,22.00,https://clanpesca.com/prodotto/urban-fishing-realdeal-87-cm-9-gr-15-s/
